datetime_,file_name,file_name_path,img_data_path,elpased_time (us),wass_image_name,part,elpased_time (us) (parts)
2021-08-18 18:30:53.698686,camera1-2021-08-18---18-30-53.698686.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-53.698686.tiff,example\sample_image_data\2021-08-18---18-30/camera1,0,000000_0000000000000_01.tif,1,0
2021-08-18 18:30:54.197837,camera1-2021-08-18---18-30-54.197837.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-54.197837.tiff,example\sample_image_data\2021-08-18---18-30/camera1,499151,000001_0000000499151_01.tif,1,499151
2021-08-18 18:30:54.701104,camera1-2021-08-18---18-30-54.701104.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-54.701104.tiff,example\sample_image_data\2021-08-18---18-30/camera1,1002418,000002_0000001002418_01.tif,1,1002418
2021-08-18 18:30:55.196992,camera1-2021-08-18---18-30-55.196992.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-55.196992.tiff,example\sample_image_data\2021-08-18---18-30/camera1,1498306,000003_0000001498306_01.tif,1,1498306
2021-08-18 18:30:55.697973,camera1-2021-08-18---18-30-55.697973.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-55.697973.tiff,example\sample_image_data\2021-08-18---18-30/camera1,1999287,000004_0000001999287_01.tif,1,1999287
2021-08-18 18:30:56.197403,camera1-2021-08-18---18-30-56.197403.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-56.197403.tiff,example\sample_image_data\2021-08-18---18-30/camera1,2498717,000005_0000002498717_01.tif,1,2498717
2021-08-18 18:30:56.698265,camera1-2021-08-18---18-30-56.698265.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-56.698265.tiff,example\sample_image_data\2021-08-18---18-30/camera1,2999579,000006_0000002999579_01.tif,1,2999579
2021-08-18 18:30:57.197462,camera1-2021-08-18---18-30-57.197462.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-57.197462.tiff,example\sample_image_data\2021-08-18---18-30/camera1,3498776,000007_0000003498776_01.tif,1,3498776
2021-08-18 18:30:57.698071,camera1-2021-08-18---18-30-57.698071.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-57.698071.tiff,example\sample_image_data\2021-08-18---18-30/camera1,3999385,000008_0000003999385_01.tif,1,3999385
2021-08-18 18:30:58.198087,camera1-2021-08-18---18-30-58.198087.tiff,example\sample_image_data\2021-08-18---18-30/camera1\camera1-2021-08-18---18-30-58.198087.tiff,example\sample_image_data\2021-08-18---18-30/camera1,4499401,000009_0000004499401_01.tif,1,4499401
